GT,Claude,Manual,Llama,o1,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,GT_len,Llama_len,o1_len,Claude_len,Manual_len
"['O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', '.']","['O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', '.']","['O', 'REC', 'REC', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', '.']","['O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', '.']","['O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', '.']",,,,,,15,15,15,15,15
"['OBJ', 'V', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['OBJ', 'V', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['OBJ', 'V', 'O', 'V', 'O', 'OBJ', 'OBJ', 'OBJ', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', ',', 'OBJ', 'OBJ', 'OBJ', 'O', 'O', 'O', 'V', 'OBJ', 'OBJ', 'O', 'V', 'OBJ', '.']","['O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'V', 'O', 'OBJ', 'O', '.']","['ACTOR', 'V', 'O', 'V', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'OBJ', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'V', 'OBJ', '.']",,,,,,27,27,27,27,27
"['ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', 'OBJ', ',', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', 'OBJ', ',', 'O', 'ACTOR', 'OBJ', 'OBJ', 'O', 'V', '.']","['ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ', 'OBJ', ',', 'O', 'ACTOR', 'OBJ', 'OBJ', 'O', 'V', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', 'OBJ', ',', 'O', 'ACTOR', 'O', 'OBJ', 'O', 'V', '.']","['O', 'ACTOR', 'V', 'O', 'O', 'OBJ', ',', 'O', 'ACTOR', 'O', 'OBJ', 'O', 'V', '.']",,,,,,14,14,14,14,14
"['OBJ', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', '.']","['ACTOR', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'V', 'O', 'OBJ', '.']","['ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'V', 'OBJ', '.']",,,,,,18,18,18,18,18
"['ACTOR', 'ACTOR', 'V', 'O', 'V', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'REC', 'REC', '-', 'REC', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'OBJ', 'OBJ', 'O', 'O', 'REC', '-', 'REC', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'REC', 'REC', '-', 'REC', '.']","['ACTOR', 'O', 'V', 'O', 'OBJ', 'ACTOR', 'OBJ', 'O', 'O', 'O', 'OBJ', 'O', 'ACTOR', 'O', '-', 'O', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'REC', 'REC', '-', 'REC', '.']",,,,,,17,17,17,17,17
"['OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['O', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'V', '.']","['OBJ', 'OBJ', 'V', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', '.']","['O', 'OBJ', 'V', 'O', 'O', 'O', 'ACTOR', 'O', 'V', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', '.']",,,,,,10,10,10,10,10
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'OBJ', 'OBJ', 'V', '.']","['O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', ',', 'V', 'OBJ', 'OBJ', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'V', 'OBJ', 'OBJ', 'V', '.']","['O', 'O', 'V', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'V', ',', 'V', 'O', 'REC', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'V', ',', 'V', 'O', 'ACTOR', 'V', '.']",,,,,,21,21,21,21,21
"['ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'REC', 'REC', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'REC', 'REC', 'OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']","['ACTOR', 'O', 'V', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', '.']","['O', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'OBJ', 'O', 'O', 'OBJ', 'O', 'V', '.']",,,,,,18,18,18,18,18
"['OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'ACTOR', 'V', '.']","['ACTOR', 'ACTOR', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'ACTOR', 'O', 'O', 'ACTOR', 'O', 'ACTOR', 'V', '.']","['OBJ', 'OBJ', 'O', 'OBJ', 'OBJ', 'V', 'O', 'ACTOR', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'O', 'ACTOR', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'V', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'O', 'V', '.']","['O', 'OBJ', 'O', 'O', 'OBJ', 'V', 'O', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'O', 'ACTOR', 'V', '.']",,,,,,19,19,19,19,19
"['ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', '.']","['ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', '.']","['ACTOR', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', '.']","['O', 'O', 'REC', 'V', 'O', 'O', 'OBJ', 'O', 'OBJ', '.']","['O', 'O', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', '.']",,,,,,10,10,10,10,10
