tokens;srl_tags
['Aan', 'de', 'bewoner', 'wordt', 'zo', 'spoedig', 'mogelijk', 'een', 'schriftelijk', 'verslag', 'van', 'het', 'binnentreden', 'verstrekt', '.'];['O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', '.']
['Onteigening', 'kan', 'alleen', 'geschieden', 'in', 'het', 'algemeen', 'belang', 'en', 'tegen', 'vooraf', 'verzekerde', 'schadeloosstelling', ',', 'een', 'en', 'ander', 'naar', 'bij', 'of', 'krachtens', 'de', 'wet', 'te', 'stellen', 'voorschriften', '.'];['O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ACTOR', 'V', 'O', 'OBJ', 'O', '.']
[ 'De', 'rechter', 'gelast', 'de', 'onmiddellijke', 'invrijheidstelling', ',', 'indien', 'hij', 'de', 'vrijheidsontneming', 'onrechtmatig', 'oordeelt', '.'];['ACTOR', 'ACTOR', 'V', 'O', 'O', 'OBJ', ',', 'O', 'ACTOR', 'O', 'OBJ', 'O', 'V', '.']
['Hij', 'aan', 'wie', 'anders', 'dan', 'op', 'rechterlijk', 'bevel', 'zijn', 'vrijheid', 'is', 'ontnomen', ',', 'kan', 'aan', 'de', 'rechter', 'zijn', 'invrijheidstelling', 'verzoeken', '.'];['ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'V', 'O', ',', 'V', 'O', 'ACTOR', 'O', 'OBJ', 'V', '.']
['Hij', 'wordt', 'in', 'dat', 'geval', 'door', 'de', 'rechter', 'gehoord', 'binnen', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'termijn', '.'];['ACTOR', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'ACTOR', 'V', 'O', 'O', 'O', 'O', 'ACTOR', 'V', 'O', 'OBJ', '.']
['De', 'regering', 'doet', 'jaarlijks', 'van', 'de', 'staat', 'van', 'het', 'onderwijs', 'verslag', 'aan', 'de', 'Staten', '-', 'Generaal', '.'];['ACTOR', 'O', 'V', 'O', 'OBJ', 'ACTOR', 'OBJ', 'O', 'O', 'O', 'OBJ', 'O', 'ACTOR', 'O', '-', 'O', '.']
['Het', 'voorstel', 'daartoe', 'wordt', 'door', 'of', 'vanwege', 'de', 'Koning', 'ingediend'];['O', 'OBJ', 'O', 'V', 'O', 'O', 'O', 'ACTOR', 'O', 'V']
['Zij', 'kunnen', 'het', 'voorstel', 'alleen', 'aannemen', 'met', 'ten', 'minste', 'twee', 'derden', 'van', 'het', 'aantal', 'uitgebrachte', 'stemmen', '.'];['ACTOR', 'O', 'O', 'OBJ', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'O', 'OBJ', 'V', '.']
['Het', 'voorstel', 'wordt', 'door', 'of', 'vanwege', 'de', 'Koning', 'ingediend', '.'];['O', 'OBJ', 'V', 'O', 'O', 'O', 'ACTOR', 'O', 'V', '.']
['Na', 'de', 'indiening', 'van', 'het', 'voorstel', 'worden', 'de', 'kamers', 'ontbonden', '.'];['O', 'ACTOR', 'O', 'O', 'OBJ', 'OBJ', 'V', 'O', 'REC', 'V', '.']
['Zij', 'kunnen', 'het', 'voorstel', 'alleen', 'aannemen', 'met', 'ten', 'minste', 'twee', 'derden', 'van', 'het', 'aantal', 'uitgebrachte', 'stemmen', '.'];['ACTOR', 'V', 'O', 'ACTOR', 'O', 'V', 'O', 'O', 'O', 'O', 'OBJ', 'O', 'OBJ', 'O', 'OBJ', '.',]
['Indien', 'bij', 'overlijden', 'van', 'de', 'Koning', 'of', 'bij', 'afstand', 'van', 'het', 'koningschap', 'een', 'opvolger', 'ontbreekt', ',', 'worden', 'de', 'kamers', 'ontbonden', '.'];['O', 'O', 'V', 'O', 'ACTOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OBJ', 'V', ',', 'V', 'O', 'REC', 'V', '.']
